Cheap Car Insurance Quotes from Elephant,"cheap, car, insurance, cheapest, cheaper,  home, van, travel, motor, quote, quotes, online, UK, elephant","For great value car insurance, it has to be Elephant. Elephant comprehensive policies are crammed with great benefits as standard. Get a quote now!",/
Car Insurance With Elephant,"cheap, car, insurance, cheapest, cheaper,  home, motor, quote, quotes, online, UK, elephant","Want to save on your car insurance? Get a cheap car insurance quote at Elephant. For No nonsense, Great value, Straightforward Car Insurance go to Elephant.",/car-insurance/
Policy Upgrades | Car Insurance | Elephant UK Insurance ,"car, insurance, policy, cheap, cheapest, cheaper,  motor, quote, quotes, online, UK, elephant",Tailor your policy to suit your individual needs. Visit Elephant now to find out more and get an online quote.,/car-insurance/policy-upgrades/
Breakdown Cover | Car Insurance | Elephant UK Insurance,"car, insurance, breakdown, recovery, cheap, cheapest, cheaper,  motor, quote, quotes, online, UK, elephant",Elephant breakdown cover comes highly rated. Visit Elephant now to find out more and get an online quote.,/car-insurance/policy-upgrades/breakdown-cover.php
Personal Injury Cover | Car Insurance | Elephant UK Insurance,"car, insurance, personal, injury, protection, cheap, cheapest, cheaper,  motor, quote, quotes, online, UK, elephant",Get car insurance with Personal Injury Protection . Visit Elephant now to find out more and get an online quote.,/car-insurance/policy-upgrades/personal-injury-cover.php
Hire Car Cover | Car Insurance | Elephant UK Insurance,"car, insurance, hire, cover, cheap, cheapest, cheaper,  motor, quote, quotes, online, UK, elephant","Don't get stuck without a car, get Elephant car insurance with Hire Car cover . Visit Elephant now to find out more and get an online quote.",/car-insurance/policy-upgrades/hire-car-cover.php
Premium Protector | Car Insurance | Elephant UK Insurance,"car, insurance, instalment, payment, protection, IPP, cheap, cheapest, cheaper,  motor, quote, quotes, online, UK, elephant",Get car insurance with Payment Protection cover . Visit Elephant now to find out more and get an online quote.,/car-insurance/policy-upgrades/premium-protector.php
Cheap Van Insurance Quotes from Elephant,"van, insurance, quote, cheap, cheaper, commercial, vehicle, cover, quotes, online, UK, car, elephant",Need expert deal on Van insurance? Well Elephant have teamed up with Admiral. Visit Elephant now to find out more and get an online quote.,/other-products/van-insurance.php
Cheap Motorbike Insurance Quotes from Elephant,"motorbike, bike, motorcycle, insurance, cover, quote, cheap, cheaper, quotes, online, UK, car, elephant","At Elephant we're just as keen on two (or three) wheels, so for an expert deal on Motorbike Insurance visit Elephant now and get an online quote.",/other-products/bike-insurance.php
Cheap Home Insurance Quotes from Elephant,"home, household, insurance, quote, cheap, cheaper, cover, buildings, contents, quotes, UK, car, elephant",Home insurance made easy. For a great deal on your Home Insurance visit Elephant now to find out more.,/other-products/home-insurance.php
Cheap Travel Insurance Quotes from Elephant,"travel, insurance, quote, cheap, cheaper, holiday, cover, quotes, online, UK, car, elephant",Planning your holiday? Well don't leave home without Elephant Travel Insurance. Visit Elephant now to find out more and get an online quote.,/other-products/travel-insurance.php
Cheap Multi Car Insurance Quotes from Elephant,"admiral, car, insurance, multi car, multicar, second car, multiple, two car, cover, quotes, online, UK, elephant",Get cheap Multi Car insurance cover from Elephant's sister company Admiral. Visit Elephant now for more details.,/other-products/multicar-insurance.php
Cheap Car Warranty from Elephant,"car, warranty, insurance, cover, cover, quote, quotes, online, cheap, cheaper, UK, elephant",Don't get caught by expensive repair bills. For cheap Car Warranty Cover visit Elephant now to find out more and get an online quote.,/other-products/car-warranty.php
Easier Motoring | Elephant UK Insurance,"car, insurance, quote, cheap, motor, cheaper, motoring, easier motoring tips, elephant",Read our useful easier motoring tips. Visit Elephant now for more information.,/car-insurance/easier-motoring/
Elephant Information - Vehicle Tax | Elephant UK Insurance,"car, insurance, quote, cheap, motor, cheaper, motoring, taxing, car tax, elephant","Find out how to tax your car online, or what you need to do if you take your car off the road.",/help-and-support/useful-information/taxing-your-vehicle.php
Servicing Your Car | Elephant UK Insurance,"car, insurance, quote, cheap, motor, cheaper, motoring, car service, servicing, repairs, MOT, elephant",Read our useful information about servicing your car. Visit Elephant now for more details.,/car-insurance/easier-motoring/servicing-your-car.php
Driving Abroad | Elephant UK Insurance,"car, insurance, quote, cheap, motor, cheaper, motoring,driving, abroad, Europe, elephant",Read our useful information about driving your car abroad. Visit Elephant now for more details.,/car-insurance/easier-motoring/driving-abroad.php
Green Driving Tips | Elephant UK Insurance,"car, insurance, quote, cheap, motor, cheaper, motoring,driving, green, greener, environment, elephant",Read our useful tips for greener driving. Visit Elephant now for more information.,/car-insurance/easier-motoring/green-driving.php
Buying Car Insurance | Elephant UK Insurance,"car, insurance, quote, quotes, cheap, motor, cheaper, buying, guides, excess, elephant",Buying car insurance? Visit the Elephant Car Insurance buyers guide to answer all your car insurance questions.,/car-insurance/buyers-guide/
Types of Car Insurance | Elephant UK Insurance,"car, insurance, quote, quotes, cheap, motor, cheaper, buying, guides, elephant",Get the right type of insurance for you. Visit the Elephant Car Insurance buyers guide to answer all your car insurance questions.,/car-insurance/buyers-guide/the-right-type-of-insurance-for-you.php
Elephant Policy Books | Elephant UK Insurance,"car, insurance, quote, cheap, motor, cheaper, legal, information, policy book, details, elephant","For Elephant customers, you can find all your useful documents here - including your Car Insurance Guide and Key Facts.",/help-and-support/policy-books/
Customer Service | Car Insurance | Elephant UK Insurance,"car, insurance, quote, quotes, cheap, motor, cheaper, buying, customer, service, elephant",Contact Elephant customer services if you need help with your policy.,/car-insurance/customer-support/
Elephant Insurance claims phone number - 0333 220 2039,"car, insurance, quote, quotes, cheap, motor, cheaper, claim, accident, theft, elephant",Find out how to make a claim with Elephant. Get all of the information you need here.,/car-insurance/customer-support/make-a-claim.php
Change Your Policy | Car Insurance | Elephant UK Insurance,"car, insurance, quote, quotes, cheap, motor, cheaper, buying, customer, service, policy, change, elephant",Need to let us know about a change to your policy details? Change your policy details by phone or let us know online.,/car-insurance/customer-support/update-your-policy.php
Elephant Information - Policy Renewal | Elephant UK Insurance,"car, insurance, quote, quotes, cheap, motor, cheaper, buying, renewal, policy, change, elephant",Take a look at these easy steps for renewing your car insurance policy with Elephant.,/help-and-support/useful-information/what-happens-at-renewal.php
Contact Us | Elephant UK Insurance,"car, insurance, quote, quotes, cheap, motor, buying, customer, service, contact us, elephant",Get information on how to contact Elephant for all your car insurance needs.,/contact-elephant/
Elephant FAQs | Elephant UK Insurance,"car, insurance, quote, quotes, cheap, motor, cheaper, buying, frequently, asked, questions, FAQs, elephant",Take a look at our Car Insurance FAQs to find the answers to most if not all of your questions.,/help-and-support/useful-information/frequently-asked-questions/
Elephant Claim FAQs | Elephant UK Insurance,"car, insurance, quote, quotes, cheap, motor, cheaper, claim, accident, theft, frequently, asked, questions, FAQs, elephant","If you've got any questions about making a claim or how your claim will be handled by Elephant, take a look at our Claim FAQs.",/help-and-support/useful-information/frequently-asked-questions/your-claim.php
Elephant Policy FAQs | Elephant UK Insurance,"car, insurance, quote, quotes, cheap, motor, cheaper, policy, frequently, asked, questions, FAQs, elephant","If you've got an Elephant car insurance policy, find out the answers to the most frequently asked questions here.",/help-and-support/useful-information/frequently-asked-questions/your-policy.php
Elephant Renewal FAQs | Elephant UK Insurance,"car, insurance, quote, quotes, cheap, motor, cheaper, renewal, frequently, asked, questions, FAQs, elephant","For Elephant car insurance customers who are due for renewal, find the answers to your questions here.",/help-and-support/useful-information/frequently-asked-questions/your-renewal.php
Keycare Cover | Car Insurance | Elephant UK Insurance,"car, insurance, policy, cheap, cheapest, cheaper,  motor, quote, quotes, online, keycare, keys, UK, elephant",Upgrade your Elephant Car Insurance policy and get cover for  lost and stolen keys with Keycare Cover. Visit Elephant now to find out more.,/car-insurance/policy-upgrades/keycare-cover.php
Useful Information & Policy Details | Elephant UK Insurance,"car, insurance, quote, cheap, motor, cheaper, legal, information, policy, details, elephant",Read the Elephant car insurance policy information to find out details about our cover. Visit Elephant.,/car-insurance/customer-support/useful-information/
Motor Legal Protection | Car Insurance | Elephant UK Insurance,"car, insurance, policy, cheap, cheapest, cheaper,  motor, quote, quotes, online, motor legal protection, UK, elephant",Upgrade your Elephant Car Insurance policy and claim back uninsured losses following an accident with Motor Legal protection. Visit Elephant now to find out more.,/car-insurance/policy-upgrades/motor-legal-protection.php
Registration plates – the facts,,"How much do you know about legal car registration plates? If the answer is not very much, Elephant has everything you need to know right here.",/articles/registration-plate-rules.php
What Is Car Insurance Excess? - Elephant Insurance,,"Information explaining what car insurance excess is, how it works and other valuable information you may want to know about excess.",/car-insurance/buyers-guide/explaining-car-insurance-excess.php
How We Calculate Your Premium - Elephant Insurance,,"Guidance on how we calculate your premium, giving you factors we take into consideration. Find out some of the factors here.",/car-insurance/buyers-guide/how-we-calculate-your-premium.php
What Are Car Insurance Groups? - Elephant Insurance,,"Guidance for you on car insurance groups, the fact that all car insurance companies use the same groups makes it easier for you to compare.",/car-insurance/buyers-guide/what-are-car-insurance-groups.php
Convictions And Car Insurance - Elephant Insurance,,"Not all convictions will lead to higher premiums, some are taken into account. For a list of those convictions, click here.",/car-insurance/buyers-guide/what-if-you-have-convictions.php
What Is A No Claims Bonus? - Elephant Insurance,,What is a No Claims Bonus?  How it works and the things that affect it. Everything you need to know about No Claims Bonus here.,/car-insurance/buyers-guide/whats-a-no-claims-bonus.php
Insurance For First Time Drivers - Elephant insurance,,"Advice for young drivers on how to get cheaper insurance. Having a small engine car will help. For other tips, click here.",/car-insurance/buyers-guide/young-and-first-time-drivers.php
Specialist Vehicles - Elephant Insurance,,"Modifications don’t automatically increase your insurance, it depends on the type of modification and who did it.  For more advice and tips, click here.",/car-insurance/buyers-guide/specialist-vehicles.php
Customer Services And Support - Elephant Insurance,,"How Can We Help? From viewing your documents to making a claim, this page is packed full of useful information for you.",/car-insurance/customer-support/
I Want To Make A Claim - Elephant Insurance,,"We're sorry you need to make a claim, but we'll do our best to make the claims process easy and quick. It's important you call us as soon as possible.",/car-insurance/customer-support/make-a-claim.php
Accessibility Policy | Elephant UK Insurance,,Find out how to increase the size of the words on the page and how to request braille or large-print documents in Elephant's Accessibility Policy.,/accessibility.php 
Elephant Car Insurance Bonus Accelerator | Elephant UK Insurance,,Find out more about how to earn your No Claims Bonus faster with Elephant's Bonus Accelerator policy.,/help-and-support/useful-information/bonus-accelerator.php
Elephant Conditions of Use | Elephant UK Insurance,,We've set out the terms of you using our website in our Conditions of Use guide. Enjoy.,/help-and-support/useful-information/conditions-of-use.php
Elephant Cookie Policy | Elephant UK Insurance,,Find out about the cookies we love at Elephant. Spoiler - they're not chocolate chip.,/help-and-support/useful-information/cookie-policy.php
Elephant Information - Privacy and Security | Elephant UK Insurance,,"In our Privacy and Security statement, we explain what data we collect about you and how we will and won't use it. Take a look here.",/help-and-support/useful-information/your-privacy-and-security.php
Elephant Breakdown Cover - Elephant Insurance,,Information on the different types of breakdown cover we offer you and how you would go about buying it. Click here to find out what we offer.,/car-insurance/policy-upgrades/breakdown-cover.php?
Our  Great Value Extra Care Package - Elephant Insurance,,"We've combined Personal Injury, Hire Car and Key care in one package for great value cover at a discounted rate. Find out more about the products here.",/car-insurance/policy-upgrades/extra-care-cover.php 
Contact Elephant - Elephant Insurance,,Here are the different contact details for the departments you may need. Including customer services and claims. Click here for details.,/contact-elephant/?opt=a 
Sorry - You Need JavaScript - Elephant Insurance,,"If you need help to enable JavaScript, please follow the instructions by clicking on the page.",/jsSorry.php 
Help Logging In - Elephant Insurance,,"If you’re having problems logging in, click on one of the options on the page for guidance on how to solve the problem.",/portal/portal-faq.php
The Elephant Web Contents Page - Elephant Insurance,,A sitemap with links to all the different pages on the Elephant website.,/sitemap.php
Elephant Complaint Information | Elephant UK Insurance,,"Learn how to contact us if you have a complaint, and the steps we'll take to deal with your concerns in our guide to handling your complaint. ",/help-and-support/complaint-information.php
Scottish Drivers Like To Make It Personal,,Motorists living in Scotland are the most likely to own a personalised number plate new research has revealed. Read more here.,/pressReleases/01092011/Scottish--drivers-like-to-make-it-personal
Children sick of bank holiday car trips,,With nearly two thirds of parents having a child who suffers from car sickness the upcoming bank holiday could be a messy one. Read more here.,/pressReleases/03052013/Children-sick-of-bank-holiday-car-trips
"Decade of shopping online saves savvy shoppers £27,000",,"PC-savvy Brits have saved £27,024 since the millennium - by shopping online. Read more here.","/pressReleases/03082010/Decade-of-shopping-online-saves-savvy-shoppers-£27,000"
Cheryl Cole and Johnny Depp revv up,,"As winter takes hold and car journeys become more troublesome, new research has revealed the fantasy road trip drivers would rather be enjoying.",/pressReleases/03122010/Cheryl-Cole-and-Johnny--Depp-get-men-and-women-revved-up-for-a-road-trip
Parallel parking proves problematic. ,,"It might seem like a simple, everyday activity, but new research suggests parking is a real headache for many motorists in the UK.  Read more here.",/pressReleases/05042012/Parallel-parking-proves-problematic-
High-speed Hamilton could push Button aside,,"With this year's Formula 1 Championship likely to be the most exciting for years, elephant.co.uk decided to pit the two British greats head-to-head.",/pressReleases/09032010/High-speed-Hamilton-could-push-Button-aside
Majority of UK motorists revealed as in-car lovers,,A new study reveals the UK is a nation of adventurous lovers as more than half of us admit we've had a bit of in-car nookie. Read more here.,/pressReleases/09072010/Majority-of-UK--motorists-revealed-as-in-car-lovers
Driving to work is easier when the kids are off,,"Car insurance specialist, elephant.co.uk polled 3,000 motorists to ask them how much quicker the morning commute is during the school holidays. Read more ",/pressReleases/1/Motorists-save-over-13-hours-a-year-on-the-commute-during-school-holidays
Affordable open-top motoring this summer,,"Online car insurer, elephant.co.uk has compared the cost of insuring three typical drivers in these funky convertibles. Read more here.",/pressReleases/10/Affordable-open-top-motoring-this-summer
A third of drivers admit to ignoring laws of the road,,"elephant.co.uk surveyed 1,800 motorists and a third admitted to breaking a number of traffic laws. Read more here.",/pressReleases/11/A-third-of-drivers-admit-to-ignoring-laws-of-the--road
Forgetful Brits lacking the memory of an elephant,,"elephant.co.uk questioned 1,800 people about their ability to remember important events. Read more here.",/pressReleases/12/Forgetful-Brits-lacking-the-memory-of-an-elephant
Is your registration accident prone - Elephant Insurance,,"Does your car number plate end with the letters NCZ? If so, you better read this.",/pressReleases/12042011/Registration-combinations-point-to-accident--prone-drivers-
Favourite Famous Cars - Elephant Insurance,,It seems that British motorists look back at their childhood with rose-tinted spectacles. Read more here.,/pressReleases/14/Favourite-Famous-Cars
Clark revealed as UK's most accident-prone surname,,New research suggests there just might be more to a name than you may think as the UK's most accident-prone surnames have been revealed.,/pressReleases/14052010/Clark-revealed-as-UK's-most--accident-prone-surname
Drivers get black mark for speeding - elephant insurance,,Drivers of grey cars were also found to be more likely than average to have speeding points on their license. Read more here.,/pressReleases/15/Drivers-get-black-mark-for-speeding
"Happy Chinese New Year, but what animal to drive with?",,"According to elephant.co.uk, the safest drivers who make the fewest claims are those born in the year of the Horse (1942,1954, 1966, or 1978).","/pressReleases/16/Happy-Chinese-New--Year---But-is-it-safest-to-drive-with-a-rat,-dog,-rabbit-or-rooster"
Dishonest motorists admit they would smash and run,,Some British motorists have been exposed as an untrustworthy bunch in a new survey which looks at just how honest motorists are. Read more here.,/pressReleases/17062010/Dishonest-motorists-admit-they-would-smash-and-run
An Italian job for car thieves,,"The study of more than 45,000 theft claims showed that Italian cars, such as Alfa Romeos and Fiats top the list of nationality of cars most likely to be stolen. ",/pressReleases/18/An-Italian-job-for-car-thieves
Motorists will drive less because of fuel costs,,elephant.co.uk polled motorists to discover the current attitudes of road users to the rising cost of fuel. Read more here.,/pressReleases/19/Motorists-say-rising-cost-of-fuel-will-make-them-drive-less
Get more for your motor - Elephant Insurance,,There are more things that can affect the value of your car than you may think. Take a look here.,/pressReleases/19102012/Get-more-for-your-motor
Thieves Prefer Old and Easy Cars,,"Majority of cars stolen are over ten years old and worth less than £1,000. Read more here.",/pressReleases/2/Thieves-Prefer-Old-and-Easy-Cars
The 10 cheapest cars to insure if you’re under 25,,If you’re looking for a new car we’ve put together the top 10 cheapest cars to insure with Elephant- helping you keep the cost of motoring down,/articles/the-10-cheapest-cars-to-insure-if-youre-under-25.php
Is the end in sight for the central white lines on UK roads?,,Norfolk is the latest county to trial removing central white lines from some of their roads in a bid to make drivers slow down,/articles/is-the-end-in-sight-for-central-road-markings.php
How the car tax bands work and why car emissions affect your monthly budget,,We break down how car tax works in the UK and why higher polluting cars cost you more every month,/articles/how-car-emissions-affect-your-pocket.php
Bus lane fines - when is it OK to drive in a bus lane?,,See the UK councils making the most money from bus lane fines and find out when you are allowed to drive in a bus lane,/articles/is-it-ever-ok-to-drive-in-a-bus-lane.php
